date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:34:38	399597/399597	---M-Z	200	added ('OK')	text/html	etag:%22d61d07abce85d1e727b9a3e8323fa89e-df%22	http://cosmoapp.io/	/home/boss/websites/Israel%20angel/cosmoapp.io/index.html	(from )
22:34:39	6052/6052	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Dec%202017%2011:54:23%20GMT	http://www.sayollo.com/	/home/boss/websites/Israel%20angel/www.sayollo.com/index.html	(from )
22:34:39	69/69	---MCZ	200	added ('OK')	text/plain	date:Tue,%2016%20Jan%202018%2020:34:38%20GMT	https://playpalsapp.co/robots.txt		(from )
22:34:39	45355/45355	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2020:34:38%20GMT	https://playpalsapp.co/	/home/boss/websites/Israel%20angel/playpalsapp.co/index.html	(from )
22:34:39	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2016%20Jan%202018%2020:34:39%20GMT	https://playpalsapp.co/xmlrpc.php	/home/boss/websites/Israel%20angel/playpalsapp.co/xmlrpc.php	(from https://playpalsapp.co/)
22:34:40	0/0	---MC-	302	error ('Found')	text/html	date:Tue,%2016%20Jan%202018%2020:34:40%20GMT	http://s.w.org/	/home/boss/websites/Israel%20angel/s.w.org/index.html	(from https://playpalsapp.co/)
22:34:41	1096/1096	---MCZ	200	added ('OK')	text/css	etag:W/%225a1fd800-448%22	https://playpalsapp.co/wp-content/plugins/jquery-collapse-o-matic/light_style.css?ver=1.6	/home/boss/websites/Israel%20angel/playpalsapp.co/wp-content/plugins/jquery-collapse-o-matic/light_stylef24c.css	(from https://playpalsapp.co/)
22:34:41	1026/1026	---MC-	200	added ('OK')	application/rss+xml	etag:%2201fffb8dd9ad7c420b4b53f53eaa20bf%22	https://playpalsapp.co/feed/	/home/boss/websites/Israel%20angel/playpalsapp.co/feed/index.html	(from https://playpalsapp.co/)
22:34:41	1004/1004	---MCZ	200	added ('OK')	text/css	etag:W/%225a05887b-3ec%22	https://playpalsapp.co/wp-content/themes/u-design/styles/common-css/reset.css?ver=1.0	/home/boss/websites/Israel%20angel/playpalsapp.co/wp-content/themes/u-design/styles/common-css/reset5152.css	(from https://playpalsapp.co/)
22:34:41	700/700	---MC-	200	added ('OK')	application/rss+xml	etag:%22cc05ba5408fc41fb27857fc417407ab7%22	https://playpalsapp.co/comments/feed/	/home/boss/websites/Israel%20angel/playpalsapp.co/comments/feed/index.html	(from https://playpalsapp.co/)
22:34:41	1583/1583	---MCZ	200	added ('OK')	text/css	etag:W/%225a05887b-62f%22	https://playpalsapp.co/wp-content/themes/u-design/styles/style1/css/text.css?ver=1.0	/home/boss/websites/Israel%20angel/playpalsapp.co/wp-content/themes/u-design/styles/style1/css/text5152.css	(from https://playpalsapp.co/)
22:34:42	7707/7707	---MCZ	200	added ('OK')	text/css	etag:W/%225a05887b-1e1b%22	https://playpalsapp.co/wp-content/themes/u-design/styles/common-css/960.css?ver=1.0	/home/boss/websites/Israel%20angel/playpalsapp.co/wp-content/themes/u-design/styles/common-css/9605152.css	(from https://playpalsapp.co/)
22:34:42	4894/4894	---MCZ	200	added ('OK')	text/css	etag:W/%225a05887b-131e%22	https://playpalsapp.co/wp-content/themes/u-design/scripts/superfish-menu/css/superfish.css?ver=1.7.2	/home/boss/websites/Israel%20angel/playpalsapp.co/wp-content/themes/u-design/scripts/superfish-menu/css/superfishba3a.css	(from https://playpalsapp.co/)
22:34:42	28747/28747	---MCZ	200	added ('OK')	text/css	etag:W/%225a05887b-704b%22	https://playpalsapp.co/wp-content/themes/u-design/styles/common-css/font-awesome/css/font-awesome.css?ver=2.7.11	/home/boss/websites/Israel%20angel/playpalsapp.co/wp-content/themes/u-design/styles/common-css/font-awesome/css/font-awesome5502.css	(from https://playpalsapp.co/)
